,join_col,G16PRERTRU_x,G16PREDCLI_x
304,077-26-04002604,333.0,113.0
305,077-26-05002605,166.0,55.0
306,077-25-05002505,214.0,60.0
307,077-26-03002603,382.0,217.0
308,077-25-06002506,198.0,74.0
309,077-25-09002509,558.0,279.0
310,079-09-01000901,366.0,189.0
311,079-09-02000902,181.0,212.0
312,079-09-03000903,143.0,1051.0
313,079-09-04000904,208.0,483.0
314,079-09-05000905,319.0,164.0
315,081-26-01002601,247.0,184.0
316,081-26-02002602,294.0,120.0
317,081-26-03002603,131.0,89.0
318,081-26-04002604,281.0,195.0
319,081-26-05002605,135.0,106.0
320,083-07-01000701,650.0,95.0
321,085-31-01003101,18.0,138.0
322,085-31-02003102,47.0,23.0
323,085-31-03003103,16.0,57.0
324,085-31-04003104,129.0,44.0
325,085-31-05003105,27.0,235.0
326,085-31-06003106,23.0,261.0
327,087-39-01003901,106.0,14.0
328,087-39-02003902,134.0,18.0
329,087-39-03003903,122.0,11.0
330,089-36-01003601,534.0,38.0
331,089-36-02003602,597.0,73.0
332,089-36-03003603,1535.0,284.0
333,089-36-04003604,1132.0,119.0
334,089-36-05003605,236.0,38.0
335,089-36-06003606,205.0,28.0
336,089-36-07003607,457.0,87.0
337,089-37-01003701,5059.0,1086.0
338,091-23-01002301,103.0,62.0
339,091-23-02002302,123.0,81.0
340,091-23-03002303,113.0,75.0
341,091-23-04002304,95.0,72.0
342,091-23-05002305,104.0,71.0
343,093-12-01001201,755.0,362.0
344,093-12-02001202,1119.0,518.0
345,093-12-03001203,790.0,316.0
346,093-12-04001204,724.0,342.0
347,093-12-05001205,598.0,233.0
348,093-29-01002901,199.0,47.0
349,093-29-02002902,133.0,40.0
350,093-29-03002903,275.0,83.0
351,093-29-04002904,541.0,128.0
352,093-29-05002905,433.0,70.0
353,093-29-06002906,482.0,136.0
354,093-29-07002907,669.0,223.0
355,095-15-01001501,518.0,159.0
356,095-15-02001502,108.0,55.0
357,095-15-03001503,107.0,91.0
358,097-20-01002001,73.0,50.0
359,097-20-02002002,107.0,64.0
360,097-20-03002003,50.0,38.0
361,097-20-04002004,435.0,255.0
362,097-20-10002010,217.0,118.0
363,097-20-11002011,220.0,114.0
364,097-20-05002005,146.0,62.0
365,097-20-06002006,230.0,120.0
366,097-20-07002007,129.0,59.0
367,097-20-08002008,324.0,148.0
368,097-20-09002009,140.0,78.0
369,097-20-12002012,194.0,135.0
370,099-10-01001001,897.0,390.0
371,099-19-01001901,2098.0,777.0
