,join_col,G16PRERTRU_y,G16PREDCLI_y
618,041-New England #3,316.0,64.0
619,041-Regent #2,94.0,11.0
620,043-Dawson,118.0,10.0
621,043-Pettibone,54.0,14.0
622,043-Robinson,60.0,19.0
623,043-Steele,534.0,79.0
624,043-Tappen,265.0,26.0
625,043-Tuttle,80.0,31.0
626,045-Precinct 1,260.0,132.0
627,045-Precinct 2,549.0,190.0
628,045-Precinct 3,159.0,29.0
629,045-Precinct 4,513.0,151.0
630,047-Precinct 01- American Legion ,242.0,17.0
631,047-Precinct 02-American Legion,347.0,46.0
632,047-Precinct 03 - Gackle School,172.0,41.0
633,047-Precinct 04 -Lehr Com Cent.,57.0,3.0
634,047-Precinct 05 - Fredonia Mini Ml,70.0,7.0
635,049-Precinct 16,159.0,14.0
636,049-Precinct 18,441.0,95.0
637,049-Precinct 27,134.0,33.0
638,049-Precinct 41,241.0,34.0
639,049-Precinct 47,628.0,191.0
640,049-Precinct 55,138.0,61.0
641,049-Precinct 58,169.0,32.0
642,049-Precinct 62,140.0,30.0
643,051-Precinct 1-City of Ashley,324.0,56.0
644,051-Precinct 2-Rural Ashley,160.0,35.0
645,051-Precinct 3-Lehr/Rural Lehr,40.0,23.0
646,051-Precinct 4-City of Wishek,315.0,82.0
647,051-Precinct 5-Rural Wishek,120.0,22.0
648,051-Precinct 6-Zeeland/Rural,141.0,17.0
649,053-04-01 Four Bears,41.0,183.0
650,053-04-02 Mandaree,21.0,132.0
651,053-39-03 Yellowstone,144.0,17.0
652,053-39-04 Sioux,104.0,13.0
653,053-39-05 Alexander,342.0,33.0
654,053-39-06 Arnegard,231.0,15.0
655,053-39-07 Bennie Pierre,84.0,2.0
656,053-39-08 Rhoades,157.0,5.0
657,053-39-09 Ideal/Schafer,1169.0,98.0
658,053-39-11 Watford City,1162.0,176.0
659,053-39-12 Blue Buttes,215.0,24.0
660,055-LEGISLATIVE 4-McLEAN LESS 0402,495.0,119.0
661,055-LEGISLATIVE 8-McLEAN COUNTY,3341.0,777.0
662,055-WHITE SHIELD/ZIEGLER RURAL,24.0,185.0
663,057-Precinct 0401,4.0,5.0
664,057-Precinct 3301,233.0,85.0
665,057-Precinct 3303,299.0,62.0
666,057-Precinct 3313,308.0,37.0
667,057-Precinct 3314,199.0,21.0
668,057-Precinct 3316,165.0,28.0
669,057-Precinct 3320,210.0,16.0
670,057-Precinct 3321,420.0,37.0
671,057-Precinct 3322,342.0,30.0
672,057-Precinct 3323,364.0,41.0
673,057-Precinct 3324,247.0,29.0
674,057-Precinct 3381,277.0,61.0
675,057-Precinct 3382,400.0,98.0
676,057-Precinct 3383,291.0,71.0
677,059-Precinct 01,1257.0,362.0
678,059-Precinct 02,1417.0,446.0
679,059-Precinct 03,635.0,272.0
680,059-Precinct 04,593.0,213.0
681,059-Precinct 05,369.0,170.0
682,059-Precinct 06,653.0,278.0
683,059-Precinct 07,392.0,166.0
684,059-Precinct 08,468.0,148.0
685,059-Precinct 17,1244.0,310.0
686,059-Precinct 18,465.0,124.0
687,059-Precinct 20,222.0,36.0
688,059-Precinct 23,220.0,25.0
689,059-Precinct 24,567.0,104.0
690,059-Precinct 32,1179.0,222.0
691,059-Precinct 33,674.0,109.0
692,059-Precinct 34,137.0,15.0
693,059-Precinct 36,461.0,41.0
694,059-Precinct 38,383.0,39.0
695,061-Precinct 01,789.0,130.0
696,061-Precinct 02,160.0,551.0
697,061-Precinct 03,244.0,226.0
698,061-Precinct 04,183.0,30.0
699,061-Precinct 05,257.0,20.0
700,061-Precinct 06,133.0,14.0
701,061-Precinct 07,341.0,33.0
702,061-Precinct 08,299.0,171.0
703,061-Precinct 09,176.0,45.0
704,063-Precinct 1 Nelson County,1025.0,536.0
705,065-Precinct 01-SouthEast Oliver,177.0,21.0
706,065-Precinct 02-Center /West Side,98.0,15.0
707,065-Precinct 03-Hensler,75.0,17.0
708,065-Precinct 04-Fort Clark,56.0,7.0
709,065-Precinct 05-Far West Oliver,123.0,13.0
710,065-Precinct 06-Hannover,165.0,16.0
711,065-Precinct 07-Center/ East Side,136.0,30.0
712,067-Precinct 10-01,416.0,105.0
713,067-Precinct 10-02,461.0,121.0
714,067-Precinct 10-03,491.0,160.0
715,067-Precinct 10-04,487.0,131.0
716,067-Precinct 10-05,149.0,63.0
717,067-Precinct 10-06,204.0,101.0
718,069-Precinct 01,84.0,12.0
719,069-Precinct 02,92.0,28.0
720,069-Precinct 03,241.0,35.0
721,069-Precinct 04- 1ST WARD 1ST,142.0,60.0
722,069-Precinct 05- 1ST WARD 2ND,46.0,23.0
723,069-Precinct 06 -2ND WARD,303.0,89.0
724,069-Precinct 07-3RD WARD,206.0,64.0
725,069-Precinct 08 - 4TH WARD,323.0,120.0
726,071-Precinct 01,1641.0,945.0
727,071-Precinct 02,482.0,178.0
728,071-Precinct 03,794.0,274.0
729,071-Precinct 04,300.0,108.0
730,073-Precinct 1,161.0,166.0
731,073-Precinct 2,287.0,176.0
732,073-Precinct 3,443.0,356.0
733,073-Precinct 4,319.0,140.0
734,075-GLENBURN,238.0,39.0
735,075-MOHALL,441.0,101.0
736,075-SHERWOOD,167.0,30.0
737,075-TOLLEY,90.0,19.0
738,075-WHITE ASH,57.0,12.0
739,077-ABERCROMBIE,214.0,60.0
740,077-BARRIE-HELENDALE,123.0,19.0
741,077-BRIGHTWOOD-ELMA-BELFORD,166.0,55.0
742,077-CHRISTINE,123.0,52.0
743,077-COLFAX,235.0,103.0
744,077-FAIRMOUNT,180.0,75.0
745,077-HANKINSON,342.0,159.0
746,077-LIDGERWOOD,333.0,113.0
747,077-MOORETON,149.0,68.0
748,077-WAHPETON CITY HALL,541.0,200.0
749,077-WAHPETON COMM CENTER,533.0,272.0
750,077-WAHPETON FAITH CHURCH,558.0,279.0
751,077-WAHPETON RICHLAND LEC,690.0,318.0
752,077-WALCOTT,198.0,74.0
753,077-WYNDMERE,382.0,217.0
754,079- Rolla #1,366.0,189.0
755,079-Dunseith #4,208.0,483.0
756,079-Rolette #5,319.0,164.0
757,079-St John #2,181.0,212.0
758,079-Turtle Mtn Reservation #3,143.0,1051.0
759,081-Cogswell #3,131.0,89.0
760,081-Forman-Havana #4,281.0,195.0
761,081-Gwinner #2,294.0,120.0
762,081-Milnor #1,247.0,184.0
763,081-Rutland-Cayuga #5,135.0,106.0
764,083-Precinct 01,650.0,95.0
765,085-Cannonball,18.0,138.0
766,085-FY East,23.0,261.0
767,085-FY West,27.0,235.0
768,085-Porcupine,16.0,57.0
769,085-Selfridge,129.0,44.0
770,085-Solen,47.0,23.0
771,087-Amidon Courthouse,134.0,18.0
